Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0603_1608Metric",30.000000,61.100000,90.000000,top
"C2","47n","C_0603_1608Metric",17.500000,55.600000,180.000000,top
"C3","100n","C_0603_1608Metric",21.000000,55.600000,180.000000,top
"C4","100n","C_0603_1608Metric",23.682500,66.675000,90.000000,top
"C5","47n","C_0603_1608Metric",27.132500,65.875000,0.000000,top
"C6","100n","C_0603_1608Metric",28.000000,61.100000,-90.000000,top
"D1","LED","LED_0805_2012Metric",16.600000,92.200000,180.000000,top
"D2","LED","LED_0805_2012Metric",28.200000,92.200000,0.000000,top
"R1","10k","R_0603_1608Metric",24.300000,55.600000,180.000000,top
"R2","R_Photo","SMD2.4x3.6",22.400000,50.800000,90.000000,top
"R3","R_Photo","SMD2.4x3.6",28.600000,74.130000,0.000000,top
"R5","220","R_0603_1608Metric",18.800000,66.700000,90.000000,top
"R6","220","R_0603_1608Metric",20.700000,66.675000,90.000000,top
"U1","LM556","SOIC-14_3.9x8.7mm_P1.27mm",21.700000,60.925000,180.000000,top
